uid,analysisDate,namedLocation,domainID,siteID,plotID,plotType,setDate,collectDate,massSampleMixtureID,cnSampleID,cnSampleCode,sampleType,co2Trapped,d15N,d13C,nitrogenPercent,carbonPercent,CNratio,cnIsotopeQF,cnPercentQF,isotopeAccuracyQF,percentAccuracyQF,analyticalRepNumber,remarks,laboratoryName,testMethod,instrument,analyzedBy,reviewedBy,dataQF
"0ec0709d-5748-418b-b926-080d58903b0f","2020-03-02","BONA_077.basePlot.ltr","D19","BONA","BONA_077","tower","2019-09-03T20:00Z","2019-09-17T20:00Z","NEON.LTR.BONA077.20190917.NDL","NEON.LTR.BONA077.20190917.NDL.CN","A00000102035","vegetation","Y",-5.8,,0.31,,,"OK","OK","OK","OK",1,"CO2 trapped","University of Wyoming Stable Isotope Facility","009 EA-IRMS organic d15n & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"eefbebc0-80d1-4327-b911-7cb3e722d73e","2020-02-21","BONA_079.basePlot.ltr","D19","BONA","BONA_079","tower","2019-09-03T20:00Z","2019-09-17T20:00Z","NEON.LTR.BONA079.20190917.LVS","NEON.LTR.BONA079.20190917.LVS.CN","A00000101995","vegetation","N",-4.7,-29.7,1.04,50.69,48.8,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"d9cb155c-2984-4094-94a7-1ca311649045","2020-02-26","BONA_088.basePlot.ltr","D19","BONA","BONA_088","tower","2019-09-03T20:00Z","2019-09-17T20:00Z","NEON.LTR.BONA088.20190917.NDL","NEON.LTR.BONA088.20190917.NDL.CN","A00000102051","vegetation","N",-7.2,-29.5,0.40,49.46,123.3,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"112f747c-87ae-4255-bf47-aee213e22971","2020-02-21","BONA_087.basePlot.ltr","D19","BONA","BONA_087","tower","2019-09-03T20:00Z","2019-09-17T20:00Z","NEON.LTR.BONA087.20190917.NDL","NEON.LTR.BONA087.20190917.NDL.CN","A00000102049","vegetation","N",,-28.7,,49.75,,"OK","OK","OK","OK",1,"N data removed, did not pass QC, ran separately","University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"4d02e558-c1e0-492b-8e17-134fbba05366","2020-03-02","BONA_070.basePlot.ltr","D19","BONA","BONA_070","tower","2019-09-03T20:00Z","2019-09-17T20:00Z","NEON.LTR.BONA070.20190917.NDL","NEON.LTR.BONA070.20190917.NDL.CN","A00000102020","vegetation","Y",-5.0,,0.27,,,"OK","OK","OK","OK",1,"CO2 trapped","University of Wyoming Stable Isotope Facility","009 EA-IRMS organic d15n & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"6296598a-779e-451c-8a1f-ced5f239e11b","2020-02-21","BONA_076.basePlot.ltr","D19","BONA","BONA_076","tower","2019-09-03T20:00Z","2019-09-17T20:00Z","NEON.LTR.BONA076.20190917.LVS","NEON.LTR.BONA076.20190917.LVS.CN","A00000101988","vegetation","N",-6.4,-28.5,0.68,50.92,74.8,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"aa8a4d8d-0724-46e6-b9dc-d2f74badf0b9","2020-02-21","BONA_086.basePlot.ltr","D19","BONA","BONA_086","tower","2019-09-03T20:00Z","2019-09-17T20:00Z","NEON.LTR.BONA086.20190917.LVS","NEON.LTR.BONA086.20190917.LVS.CN","A00000102007","vegetation","N",-2.9,-29.3,1.01,50.78,50.4,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"64e48313-8e37-4fb5-9d95-8f78babd0959","2020-02-21","BONA_076.basePlot.ltr","D19","BONA","BONA_076","tower","2019-09-03T20:00Z","2019-09-17T20:00Z","NEON.LTR.BONA076.20190917.NDL","NEON.LTR.BONA076.20190917.NDL.CN","A00000102034","vegetation","N",,-29.5,,50.11,,"OK","OK","OK","OK",1,"N data removed, did not pass QC, ran separately","University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"c80aee68-755b-4f0a-8590-7867b9557fe4","2020-02-21","BONA_082.basePlot.ltr","D19","BONA","BONA_082","tower","2019-09-03T20:00Z","2019-09-17T20:00Z","NEON.LTR.BONA082.20190917.NDL","NEON.LTR.BONA082.20190917.NDL.CN","A00000102045","vegetation","N",-3.7,-29.8,0.84,49.27,58.4,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"278f4156-a393-4b34-815b-492ff0d9cca0","2020-02-21","BONA_080.basePlot.ltr","D19","BONA","BONA_080","tower","2019-09-03T20:00Z","2019-09-17T20:00Z","NEON.LTR.BONA080.20190917.LVS","NEON.LTR.BONA080.20190917.LVS.CN","A00000101998","vegetation","N",-5.6,-29.7,0.67,47.44,71.1,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"b99344d3-6beb-4fd1-b585-29c01e3c663d","2020-02-21","BONA_082.basePlot.ltr","D19","BONA","BONA_082","tower","2019-09-03T20:00Z","2019-09-17T20:00Z","NEON.LTR.BONA082.20190917.LVS","NEON.LTR.BONA082.20190917.LVS.CN","A00000101999","vegetation","N",-3.8,-29.7,0.99,50.47,50.7,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"193c452c-6741-4534-bb8b-164b6c508d39","2020-02-21","BONA_082.basePlot.ltr","D19","BONA","BONA_082","tower","2019-09-03T20:00Z","2019-09-17T20:00Z","NEON.LTR.BONA082.20190917.NDL","NEON.LTR.BONA082.20190917.NDL.CN","A00000102045","vegetation","N",-5.9,-29.8,0.83,49.13,59.2,"OK","OK","OK","OK",2,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"51bdcd42-5338-4d35-be3b-c4979d0e972e","2020-02-21","BONA_081.basePlot.ltr","D19","BONA","BONA_081","tower","2019-09-03T20:00Z","2019-09-17T20:00Z","NEON.LTR.BONA081.20190917.NDL","NEON.LTR.BONA081.20190917.NDL.CN","A00000102044","vegetation","N",,-28.9,,51.07,,"OK","OK","OK","OK",1,"N data removed, did not pass QC, ran separately","University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
