uid,analysisDate,namedLocation,domainID,siteID,plotID,plotType,setDate,collectDate,massSampleMixtureID,ligninSampleID,ligninSampleBarcode,analyticalRepNumber,dryMass,ligninPercent,cellulosePercent,measurementQF,accuracyQF,remarks,laboratoryName,testMethod,analyzedBy,reviewedBy,dataQF
"f05e77c8-b2d1-4ac0-92b1-2794147e5952","2017-08-30","BART_073.basePlot.ltr","D01","BART","BART_073","tower","2016-09-19T16:00Z","2016-10-10T16:00Z","NEON.LTR.BART073.20161010.NDL","NEON.LTR.BART073.20161010.NDL.LIG",,1,0.449,14.21,20.25,"OK","OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",
"53906f63-9077-467c-90c5-f697a3f162cd","2017-08-30","BART_032.basePlot.ltr","D01","BART","BART_032","tower","2016-09-19T16:00Z","2016-10-10T16:00Z","NEON.LTR.BART032.20161010.LVS","NEON.LTR.BART032.20161010.LVS.LIG",,1,0.479,16.84,18.75,"OK","OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",
"a90a58e8-a1d7-48bd-a2e3-50fda00b650c","2017-08-30","BART_033.basePlot.ltr","D01","BART","BART_033","tower","2016-09-19T16:00Z","2016-10-11T16:00Z","NEON.LTR.BART033.20161011.LVS","NEON.LTR.BART033.20161011.LVS.LIG",,1,0.468,16.86,20.29,"OK","OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",
"40afc348-fd44-44f2-b631-c4378c0def89","2017-08-30","BART_033.basePlot.ltr","D01","BART","BART_033","tower","2016-09-19T16:00Z","2016-10-11T16:00Z","NEON.LTR.BART033.20161011.LVS","NEON.LTR.BART033.20161011.LVS.LIG",,2,0.473,16.91,20.79,"OK","OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",
"83451759-1576-4f58-b4a4-9297c6eff0a8","2017-08-30","BART_072.basePlot.ltr","D01","BART","BART_072","tower","2016-09-20T16:00Z","2016-10-11T16:00Z","NEON.LTR.BART072.20161011.NDL","NEON.LTR.BART072.20161011.NDL.LIG",,1,0.474,12.96,19.54,"OK","OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",
"badf6921-b5fd-43f6-9dbe-ccf66b2bcd5a","2017-08-30","BART_042.basePlot.ltr","D01","BART","BART_042","tower","2016-09-20T16:00Z","2016-10-11T16:00Z","NEON.LTR.BART042.20161011.NDL","NEON.LTR.BART042.20161011.NDL.LIG",,1,0.467,18.76,22.12,"OK","OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",
"d046bd70-e821-4c74-8550-ebb084eb8a9a","2017-08-30","BART_044.basePlot.ltr","D01","BART","BART_044","tower","2016-09-20T16:00Z","2016-10-11T16:00Z","NEON.LTR.BART044.20161011.LVS","NEON.LTR.BART044.20161011.LVS.LIG",,1,0.468,19.19,20.83,"OK","OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",
"2969b2e8-249f-49db-bb6a-7b09ea42897f","2017-08-30","BART_075.basePlot.ltr","D01","BART","BART_075","tower","2016-09-20T16:00Z","2016-10-11T16:00Z","NEON.LTR.BART075.20161011.LVS","NEON.LTR.BART075.20161011.LVS.LIG",,1,0.478,16.27,22.07,"OK","OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",
"1a26e1cd-0318-4bbd-97c3-c164af517705","2017-08-30","BART_075.basePlot.ltr","D01","BART","BART_075","tower","2016-09-20T16:00Z","2016-10-11T16:00Z","NEON.LTR.BART075.20161011.NDL","NEON.LTR.BART075.20161011.NDL.LIG",,1,0.477,13.59,19.34,"OK","OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",
